id,name,type,code,full_path,parent_id:id
tinhkontum,Tỉnh Kon Tum,province,62,Tỉnh Kon Tum,
tinhgialai,Tỉnh Gia Lai,province,64,Tỉnh Gia Lai,
tinhdaklak,Tỉnh Đắk Lắk,province,66,Tỉnh Đắk Lắk,
tinhdaknong,Tỉnh Đắk Nông,province,67,Tỉnh Đắk Nông,
tinhlamdong,Tỉnh Lâm Đồng,province,68,Tỉnh Lâm Đồng,
tinhbinhphuoc,Tỉnh Bình Phước,province,70,Tỉnh Bình Phước,
tinhtayninh,Tỉnh Tây Ninh,province,72,Tỉnh Tây Ninh,
tinhbinhduong,Tỉnh Bình Dương,province,74,Tỉnh Bình Dương,
tinhdongnai,Tỉnh Đồng Nai,province,75,Tỉnh Đồng Nai,
thanhphohocminh,Thành phố Hồ Chí Minh,province,79,Thành phố Hồ Chí Minh,
tinhlongan,Tỉnh Long An,province,80,Tỉnh Long An,
tinhtiengiang,Tỉnh Tiền Giang,province,82,Tỉnh Tiền Giang,
tinhbentre,Tỉnh Bến Tre,province,83,Tỉnh Bến Tre,
tinhtravinh,Tỉnh Trà Vinh,province,84,Tỉnh Trà Vinh,
tinhvinhlong,Tỉnh Vĩnh Long,province,86,Tỉnh Vĩnh Long,
tinhdongthap,Tỉnh Đồng Tháp,province,87,Tỉnh Đồng Tháp,
tinhangiang,Tỉnh An Giang,province,89,Tỉnh An Giang,
tinhkiengiang,Tỉnh Kiên Giang,province,91,Tỉnh Kiên Giang,
thanhphocantho,Thành phố Cần Thơ,province,92,Thành phố Cần Thơ,
tinhhaugiang,Tỉnh Hậu Giang,province,93,Tỉnh Hậu Giang,
tinhsoctrang,Tỉnh Sóc Trăng,province,94,Tỉnh Sóc Trăng,
tinhbaclieu,Tỉnh Bạc Liêu,province,95,Tỉnh Bạc Liêu,
tinhcamau,Tỉnh Cà Mau,province,96,Tỉnh Cà Mau,
quanbadinh,Quận Ba Đình,district,001,Thành phố Hà Nội > Quận Ba Đình,environment.thanhphohanoi
quanhoankiem,Quận Hoàn Kiếm,district,002,Thành phố Hà Nội > Quận Hoàn Kiếm,environment.thanhphohanoi
quantayho,Quận Tây Hồ,district,003,Thành phố Hà Nội > Quận Tây Hồ,environment.thanhphohanoi
quanlongbien,Quận Long Biên,district,004,Thành phố Hà Nội > Quận Long Biên,environment.thanhphohanoi
quancaugiay,Quận Cầu Giấy,district,005,Thành phố Hà Nội > Quận Cầu Giấy,environment.thanhphohanoi
quandongda,Quận Đống Đa,district,006,Thành phố Hà Nội > Quận Đống Đa,environment.thanhphohanoi
quanhaibatrung,Quận Hai Bà Trưng,district,007,Thành phố Hà Nội > Quận Hai Bà Trưng,environment.thanhphohanoi
quanhoangmai,Quận Hoàng Mai,district,008,Thành phố Hà Nội > Quận Hoàng Mai,environment.thanhphohanoi
quanthanhxuan,Quận Thanh Xuân,district,009,Thành phố Hà Nội > Quận Thanh Xuân,environment.thanhphohanoi
huyensocson,Huyện Sóc Sơn,district,016,Thành phố Hà Nội > Huyện Sóc Sơn,environment.thanhphohanoi
huyendonganh,Huyện Đông Anh,district,017,Thành phố Hà Nội > Huyện Đông Anh,environment.thanhphohanoi
huyengialam,Huyện Gia Lâm,district,018,Thành phố Hà Nội > Huyện Gia Lâm,environment.thanhphohanoi
quannamtruliem,Quận Nam Từ Liêm,district,019,Thành phố Hà Nội > Quận Nam Từ Liêm,environment.thanhphohanoi
huyenthanchin,Huyện Thanh Trì,district,020,Thành phố Hà Nội > Huyện Thanh Trì,environment.thanhphohanoi
quanbactuliem,Quận Bắc Từ Liêm,district,021,Thành phố Hà Nội > Quận Bắc Từ Liêm,environment.thanhphohanoi
huyenmelinh,Huyện Mê Linh,district,024,Thành phố Hà Nội > Huyện Mê Linh,environment.thanhphohanoi
quanhadong,Quận Hà Đông,district,025,Thành phố Hà Nội > Quận Hà Đông,environment.thanhphohanoi
thixasontay,Thị xã Sơn Tây,district,026,Thành phố Hà Nội > Thị xã Sơn Tây,environment.thanhphohanoi
huyenbavi,Huyện Ba Vì,district,027,Thành phố Hà Nội > Huyện Ba Vì,environment.thanhphohanoi
huyenphuctho,Huyện Phúc Thọ,district,028,Thành phố Hà Nội > Huyện Phúc Thọ,environment.thanhphohanoi
huyendanphuong,Huyện Đan Phượng,district,029,Thành phố Hà Nội > Huyện Đan Phượng,environment.thanhphohanoi
huyenhoaiduc,Huyện Hoài Đức,district,030,Thành phố Hà Nội > Huyện Hoài Đức,environment.thanhphohanoi
huyenquocoai,Huyện Quốc Oai,district,031,Thành phố Hà Nội > Huyện Quốc Oai,environment.thanhphohanoi
huyenthachthat,Huyện Thạch Thất,district,032,Thành phố Hà Nội > Huyện Thạch Thất,environment.thanhphohanoi
huyenchuongmy,Huyện Chương Mỹ,district,033,Thành phố Hà Nội > Huyện Chương Mỹ,environment.thanhphohanoi
huyenthanhoai,Huyện Thanh Oai,district,034,Thành phố Hà Nội > Huyện Thanh Oai,environment.thanhphohanoi
huyenthuongtin,Huyện Thường Tín,district,035,Thành phố Hà Nội > Huyện Thường Tín,environment.thanhphohanoi
huyenphuxuyen,Huyện Phú Xuyên,district,036,Thành phố Hà Nội > Huyện Phú Xuyên,environment.thanhphohanoi
huyenunghoa,Huyện Ứng Hòa,district,037,Thành phố Hà Nội > Huyện Ứng Hòa,environment.thanhphohanoi
huyenmyduc,Huyện Mỹ Đức,district,038,Thành phố Hà Nội > Huyện Mỹ Đức,environment.thanhphohanoi
thanhphohagiang,Thành phố Hà Giang,district,040,Tỉnh Hà Giang > Thành phố Hà Giang,environment.tinhhagiang
huyendongvan,Huyện Đồng Văn,district,049,Tỉnh Hà Giang > Huyện Đồng Văn,environment.tinhhagiang
huyenmeovac,Huyện Mèo Vạc,district,050,Tỉnh Hà Giang > Huyện Mèo Vạc,environment.tinhhagiang
huyenyenminh,Huyện Yên Minh,district,051,Tỉnh Hà Giang > Huyện Yên Minh,environment.tinhhagiang
huyenquanba,Huyện Quản Bạ,district,052,Tỉnh Hà Giang > Huyện Quản Bạ,environment.tinhhagiang
huyenvixuyen,Huyện Vị Xuyên,district,053,Tỉnh Hà Giang > Huyện Vị Xuyên,environment.tinhhagiang
huyenbacme,Huyện Bắc Mê,district,054,Tỉnh Hà Giang > Huyện Bắc Mê,environment.tinhhagiang
huyenhoangsuphi,Huyện Hoàng Su Phì,district,055,Tỉnh Hà Giang > Huyện Hoàng Su Phì,environment.tinhhagiang
huyenxinman,Huyện Xín Mần,district,056,Tỉnh Hà Giang > Huyện Xín Mần,environment.tinhhagiang
huyenbacquang,Huyện Bắc Quang,district,057,Tỉnh Hà Giang > Huyện Bắc Quang,environment.tinhhagiang
huyenquangbinh,Huyện Quang Bình,district,058,Tỉnh Hà Giang > Huyện Quang Bình,environment.tinhhagiang
huyenlambinh,Huyện Lâm Bình,district,059,Tỉnh Hà Giang > Huyện Lâm Bình,environment.tinhhagiang
thanhphocaobang,Thành phố Cao Bằng,district,060,Tỉnh Cao Bằng > Thành phố Cao Bằng,environment.tinhcaobang
huyenbaolam,Huyện Bảo Lâm,district,066,Tỉnh Cao Bằng > Huyện Bảo Lâm,environment.tinhcaobang
huyenbaolac,Huyện Bảo Lạc,district,067,Tỉnh Cao Bằng > Huyện Bảo Lạc,environment.tinhcaobang
huyenhaquang,Huyện Hà Quảng,district,068,Tỉnh Cao Bằng > Huyện Hà Quảng,environment.tinhcaobang
huyentrungkhanh,Huyện Trùng Khánh,district,069,Tỉnh Cao Bằng > Huyện Trùng Khánh,environment.tinhcaobang
huyenhalang,Huyện Hạ Lang,district,071,Tỉnh Cao Bằng > Huyện Hạ Lang,environment.tinhcaobang
huyenthachan,Huyện Thạch An,district,072,Tỉnh Cao Bằng > Huyện Thạch An,environment.tinhcaobang
huyenquanghoa,Huyện Quảng Hòa,district,077,Tỉnh Cao Bằng > Huyện Quảng Hòa,environment.tinhcaobang
huyenhoaan,Huyện Hoà An,district,078,Tỉnh Cao Bằng > Huyện Hoà An,environment.tinhcaobang
huyennguyenbinh,Huyện Nguyên Bình,district,079,Tỉnh Cao Bằng > Huyện Nguyên Bình,environment.tinhcaobang
huyenthachan,Huyện Thạch An,district,080,Tỉnh Cao Bằng > Huyện Thạch An,environment.tinhcaobang
huyenthanhphobackan,Huyện Thành phố Bắc Kạn,district,081,Tỉnh Bắc Kạn > Huyện Thành phố Bắc Kạn,environment.tinhbackan
huyenchodon,Huyện Chợ Đồn,district,082,Tỉnh Bắc Kạn > Huyện Chợ Đồn,environment.tinhbackan
huyenbacthong,Huyện Bạch Thông,district,083,Tỉnh Bắc Kạn > Huyện Bạch Thông,environment.tinhbackan
huyenchomoi,Huyện Chợ Mới,district,084,Tỉnh Bắc Kạn > Huyện Chợ Mới,environment.tinhbackan
huyenbabe,Huyện Ba Bể,district,085,Tỉnh Bắc Kạn > Huyện Ba Bể,environment.tinhbackan
huyennganson,Huyện Ngân Sơn,district,086,Tỉnh Bắc Kạn > Huyện Ngân Sơn,environment.tinhbackan
huyenari,Huyện Na Rì,district,087,Tỉnh Bắc Kạn > Huyện Na Rì,environment.tinhbackan
huyenpacnam,Huyện Pác Nặm,district,088,Tỉnh Bắc Kạn > Huyện Pác Nặm,environment.tinhbackan
huyenchodon,Huyện Chợ Đồn,district,089,Tỉnh Bắc Kạn > Huyện Chợ Đồn,environment.tinhbackan
thanhphotuyenquang,Thành phố Tuyên Quang,district,090,Tỉnh Tuyên Quang > Thành phố Tuyên Quang,environment.tinhtuyenquang
huyenlambinh,Huyện Lâm Bình,district,093,Tỉnh Tuyên Quang > Huyện Lâm Bình,environment.tinhtuyenquang
huyenahang,Huyện Na Hang,district,094,Tỉnh Tuyên Quang > Huyện Na Hang,environment.tinhtuyenquang
huyenchiemhoa,Huyện Chiêm Hóa,district,095,Tỉnh Tuyên Quang > Huyện Chiêm Hóa,environment.tinhtuyenquang
huyenhamyen,Huyện Hàm Yên,district,096,Tỉnh Tuyên Quang > Huyện Hàm Yên,environment.tinhtuyenquang
huyenyenan,Huyện Yên Sơn,district,097,Tỉnh Tuyên Quang > Huyện Yên Sơn,environment.tinhtuyenquang
huyenduong,Huyện Sơn Dương,district,098,Tỉnh Tuyên Quang > Huyện Sơn Dương,environment.tinhtuyenquang
thanhpholaocai,Thành phố Lào Cai,district,100,Tỉnh Lào Cai > Thành phố Lào Cai,environment.tinhlaocai
huyenbata,Huyện Bát Xát,district,101,Tỉnh Lào Cai > Huyện Bát Xát,environment.tinhlaocai
huyenmuongkhuong,Huyện Mường Khương,district,102,Tỉnh Lào Cai > Huyện Mường Khương,environment.tinhlaocai
huyenmaca,Huyện Si Ma Cai,district,103,Tỉnh Lào Cai > Huyện Si Ma Cai,environment.tinhlaocai
huyenbacha,Huyện Bắc Hà,district,104,Tỉnh Lào Cai > Huyện Bắc Hà,environment.tinhlaocai
huyenbaothang,Huyện Bảo Thắng,district,105,Tỉnh Lào Cai > Huyện Bảo Thắng,environment.tinhlaocai
huyenbaoyen,Huyện Bảo Yên,district,106,Tỉnh Lào Cai > Huyện Bảo Yên,environment.tinhlaocai
thixasapa,Thị xã Sa Pa,district,107,Tỉnh Lào Cai > Thị xã Sa Pa,environment.tinhlaocai
huyenvanban,Huyện Văn Bàn,district,108,Tỉnh Lào Cai > Huyện Văn Bàn,environment.tinhlaocai
thanhphodienbienphu,Thành phố Điện Biên Phủ,district,110,Tỉnh Điện Biên > Thành phố Điện Biên Phủ,environment.tinhdienbien
thixamuonglay,Thị xã Mường Lay,district,116,Tỉnh Điện Biên > Thị xã Mường Lay,environment.tinhdienbien
huyenmuongnhe,Huyện Mường Nhé,district,118,Tỉnh Điện Biên > Huyện Mường Nhé,environment.tinhdienbien
huyenmuongcha,Huyện Mường Chà,district,119,Tỉnh Điện Biên > Huyện Mường Chà,environment.tinhdienbien
huyentuachua,Huyện Tủa Chùa,district,120,Tỉnh Điện Biên > Huyện Tủa Chùa,environment.tinhdienbien
huyendienbien,Huyện Điện Biên,district,121,Tỉnh Điện Biên > Huyện Điện Biên,environment.tinhdienbien
huyendienbiendong,Huyện Điện Biên Đông,district,122,Tỉnh Điện Biên > Huyện Điện Biên Đông,environment.tinhdienbien
huyenmuongang,Huyện Mường Ảng,district,123,Tỉnh Điện Biên > Huyện Mường Ảng,environment.tinhdienbien
huyennampo,Huyện Nậm Pồ,district,124,Tỉnh Điện Biên > Huyện Nậm Pồ,environment.tinhdienbien
thanhpholaichau,Thành phố Lai Châu,district,125,Tỉnh Lai Châu > Thành phố Lai Châu,environment.tinhlaichau
huyentamduong,Huyện Tam Đường,district,127,Tỉnh Lai Châu > Huyện Tam Đường,environment.tinhlaichau
huyenmuongte,Huyện Mường Tè,district,128,Tỉnh Lai Châu > Huyện Mường Tè,environment.tinhlaichau
huyensinho,Huyện Sìn Hồ,district,129,Tỉnh Lai Châu > Huyện Sìn Hồ,environment.tinhlaichau
huyenphongtho,Huyện Phong Thổ,district,130,Tỉnh Lai Châu > Huyện Phong Thổ,environment.tinhlaichau
huyenthanuyen,Huyện Than Uyên,district,131,Tỉnh Lai Châu > Huyện Than Uyên,environment.tinhlaichau
huyentanuyen,Huyện Tân Uyên,district,132,Tỉnh Lai Châu > Huyện Tân Uyên,environment.tinhlaichau
huyennamnhun,Huyện Nậm Nhùn,district,133,Tỉnh Lai Châu > Huyện Nậm Nhùn,environment.tinhlaichau
thanhphosonla,Thành phố Sơn La,district,134,Tỉnh Sơn La > Thành phố Sơn La,environment.tinhsonla
huyenquynhnhai,Huyện Quỳnh Nhai,district,137,Tỉnh Sơn La > Huyện Quỳnh Nhai,environment.tinhsonla
huyenthuanchau,Huyện Thuận Châu,district,138,Tỉnh Sơn La > Huyện Thuận Châu,environment.tinhsonla
huyenmuongla,Huyện Mường La,district,139,Tỉnh Sơn La > Huyện Mường La,environment.tinhsonla
huyenbacen,Huyện Bắc Yên,district,140,Tỉnh Sơn La > Huyện Bắc Yên,environment.tinhsonla
huyenphuyen,Huyện Phù Yên,district,141,Tỉnh Sơn La > Huyện Phù Yên,environment.tinhsonla
huyenmocchau,Huyện Mộc Châu,district,142,Tỉnh Sơn La > Huyện Mộc Châu,environment.tinhsonla
huyenyenchau,Huyện Yên Châu,district,143,Tỉnh Sơn La > Huyện Yên Châu,environment.tinhsonla
huyenmaison,Huyện Mai Sơn,district,144,Tỉnh Sơn La > Huyện Mai Sơn,environment.tinhsonla
huyensongma,Huyện Sông Mã,district,145,Tỉnh Sơn La > Huyện Sông Mã,environment.tinhsonla
huyensopcop,Huyện Sốp Cộp,district,146,Tỉnh Sơn La > Huyện Sốp Cộp,environment.tinhsonla
huyenvaiho,Huyện Vân Hồ,district,147,Tỉnh Sơn La > Huyện Vân Hồ,environment.tinhsonla
thanhphoyenbai,Thành phố Yên Bái,district,148,Tỉnh Yên Bái > Thành phố Yên Bái,environment.tinhyenbai
thixanghialo,Thị xã Nghĩa Lộ,district,149,Tỉnh Yên Bái > Thị xã Nghĩa Lộ,environment.tinhyenbai
huyenvanyen,Huyện Văn Yên,district,150,Tỉnh Yên Bái > Huyện Văn Yên,environment.tinhyenbai
huyenyenbinh,Huyện Yên Bình,district,151,Tỉnh Yên Bái > Huyện Yên Bình,environment.tinhyenbai
huyenmucangchai,Huyện Mù Cang Chải,district,152,Tỉnh Yên Bái > Huyện Mù Cang Chải,environment.tinhyenbai
huyentranen,Huyện Trấn Yên,district,153,Tỉnh Yên Bái > Huyện Trấn Yên,environment.tinhyenbai
huyentramtau,Huyện Trạm Tấu,district,154,Tỉnh Yên Bái > Huyện Trạm Tấu,environment.tinhyenbai
huyenvanchan,Huyện Văn Chấn,district,155,Tỉnh Yên Bái > Huyện Văn Chấn,environment.tinhyenbai
huyenluyen,Huyện Lục Yên,district,156,Tỉnh Yên Bái > Huyện Lục Yên,environment.tinhyenbai
thanhphohoabinh,Thành phố Hoà Bình,district,159,Tỉnh Hoà Bình > Thành phố Hoà Bình,environment.tinhhoabinh
huyendabac,Huyện Đà Bắc,district,164,Tỉnh Hoà Bình > Huyện Đà Bắc,environment.tinhhoabinh
huyenluongson,Huyện Lương Sơn,district,168,Tỉnh Hoà Bình > Huyện Lương Sơn,environment.tinhhoabinh
huyenkimboi,Huyện Kim Bôi,district,169,Tỉnh Hoà Bình > Huyện Kim Bôi,environment.tinhhoabinh
huyencaophong,Huyện Cao Phong,district,170,Tỉnh Hoà Bình > Huyện Cao Phong,environment.tinhhoabinh
huyentanlac,Huyện Tân Lạc,district,171,Tỉnh Hoà Bình > Huyện Tân Lạc,environment.tinhhoabinh
huyenmaichau,Huyện Mai Châu,district,172,Tỉnh Hoà Bình > Huyện Mai Châu,environment.tinhhoabinh
huyenlacson,Huyện Lạc Sơn,district,173,Tỉnh Hoà Bình > Huyện Lạc Sơn,environment.tinhhoabinh
huyenyenthuy,Huyện Yên Thủy,district,174,Tỉnh Hoà Bình > Huyện Yên Thủy,environment.tinhhoabinh
huyenlacthuy,Huyện Lạc Thủy,district,175,Tỉnh Hoà Bình > Huyện Lạc Thủy,environment.tinhhoabinh
thanhphothainguyen,Thành phố Thái Nguyên,district,178,Tỉnh Thái Nguyên > Thành phố Thái Nguyên,environment.tinhthainguyen
thanhphosongcong,Thành phố Sông Công,district,179,Tỉnh Thái Nguyên > Thành phố Sông Công,environment.tinhthainguyen
huyendinhhoa,Huyện Định Hóa,district,180,Tỉnh Thái Nguyên > Huyện Định Hóa,environment.tinhthainguyen
huyenphuluong,Huyện Phú Lương,district,181,Tỉnh Thái Nguyên > Huyện Phú Lương,environment.tinhthainguyen
huyendonghy,Huyện Đồng Hỷ,district,182,Tỉnh Thái Nguyên > Huyện Đồng Hỷ,environment.tinhthainguyen
huyenvonhai,Huyện Võ Nhai,district,183,Tỉnh Thái Nguyên > Huyện Võ Nhai,environment.tinhthainguyen
huyendaitu,Huyện Đại Từ,district,184,Tỉnh Thái Nguyên > Huyện Đại Từ,environment.tinhthainguyen
thixaphoyen,Thị xã Phổ Yên,district,185,Tỉnh Thái Nguyên > Thị xã Phổ Yên,environment.tinhthainguyen
huyenphubinh,Huyện Phú Bình,district,186,Tỉnh Thái Nguyên > Huyện Phú Bình,environment.tinhthainguyen
thanhpholangson,Thành phố Lạng Sơn,district,193,Tỉnh Lạng Sơn > Thành phố Lạng Sơn,environment.tinhlangson
huyentrangdinh,Huyện Tràng Định,district,198,Tỉnh Lạng Sơn > Huyện Tràng Định,environment.tinhlangson
huyenvanlang,Huyện Văn Lãng,district,199,Tỉnh Lạng Sơn > Huyện Văn Lãng,environment.tinhlangson
huyenvanquan,Huyện Văn Quan,district,200,Tỉnh Lạng Sơn > Huyện Văn Quan,environment.tinhlangson
huyenbinhgia,Huyện Bình Gia,district,201,Tỉnh Lạng Sơn > Huyện Bình Gia,environment.tinhlangson
huyenbacson,Huyện Bắc Sơn,district,202,Tỉnh Lạng Sơn > Huyện Bắc Sơn,environment.tinhlangson
huyenhuuluong,Huyện Hữu Lũng,district,203,Tỉnh Lạng Sơn > Huyện Hữu Lũng,environment.tinhlangson
huyenchilag,Huyện Chi Lăng,district,204,Tỉnh Lạng Sơn > Huyện Chi Lăng,environment.tinhlangson
huyenlocbinh,Huyện Lộc Bình,district,205,Tỉnh Lạng Sơn > Huyện Lộc Bình,environment.tinhlangson
huyendinhlap,Huyện Đình Lập,district,206,Tỉnh Lạng Sơn > Huyện Đình Lập,environment.tinhlangson
huyencaoloc,Huyện Cao Lộc,district,207,Tỉnh Lạng Sơn > Huyện Cao Lộc,environment.tinhlangson
thanhphohalong,Thành phố Hạ Long,district,213,Tỉnh Quảng Ninh > Thành phố Hạ Long,environment.tinhquangninh
thanhphomongcai,Thành phố Móng Cái,district,214,Tỉnh Quảng Ninh > Thành phố Móng Cái,environment.tinhquangninh
thanhphouongbi,Thành phố Uông Bí,district,215,Tỉnh Quảng Ninh > Thành phố Uông Bí,environment.tinhquangninh
thanhphocampha,Thành phố Cẩm Phả,district,216,Tỉnh Quảng Ninh > Thành phố Cẩm Phả,environment.tinhquangninh
huyenbinhlieu,Huyện Bình Liêu,district,217,Tỉnh Quảng Ninh > Huyện Bình Liêu,environment.tinhquangninh
huyentienyen,Huyện Tiên Yên,district,218,Tỉnh Quảng Ninh > Huyện Tiên Yên,environment.tinhquangninh
huyendamha,Huyện Đầm Hà,district,219,Tỉnh Quảng Ninh > Huyện Đầm Hà,environment.tinhquangninh
huyenhaiha,Huyện Hải Hà,district,220,Tỉnh Quảng Ninh > Huyện Hải Hà,environment.tinhquangninh
huyenbache,Huyện Ba Chẽ,district,221,Tỉnh Quảng Ninh > Huyện Ba Chẽ,environment.tinhquangninh
huyenvandon,Huyện Vân Đồn,district,222,Tỉnh Quảng Ninh > Huyện Vân Đồn,environment.tinhquangninh
huyenhoanhbo,Huyện Hoành Bồ,district,223,Tỉnh Quảng Ninh > Huyện Hoành Bồ,environment.tinhquangninh
thixadongtrieu,Thị xã Đông Triều,district,224,Tỉnh Quảng Ninh > Thị xã Đông Triều,environment.tinhquangninh
thixaquangyen,Thị xã Quảng Yên,district,225,Tỉnh Quảng Ninh > Thị xã Quảng Yên,environment.tinhquangninh
huyencoto,Huyện Cô Tô,district,226,Tỉnh Quảng Ninh > Huyện Cô Tô,environment.tinhquangninh
thanhphobacgiang,Thành phố Bắc Giang,district,227,Tỉnh Bắc Giang > Thành phố Bắc Giang,environment.tinhbacgiang
huyenyenthe,Huyện Yên Thế,district,229,Tỉnh Bắc Giang > Huyện Yên Thế,environment.tinhbacgiang
huyentanyen,Huyện Tân Yên,district,230,Tỉnh Bắc Giang > Huyện Tân Yên,environment.tinhbacgiang
huyenlanggiang,Huyện Lạng Giang,district,231,Tỉnh Bắc Giang > Huyện Lạng Giang,environment.tinhbacgiang
huyenlucnam,Huyện Lục Nam,district,232,Tỉnh Bắc Giang > Huyện Lục Nam,environment.tinhbacgiang
huyenlucngan,Huyện Lục Ngạn,district,233,Tỉnh Bắc Giang > Huyện Lục Ngạn,environment.tinhbacgiang
huyensondong,Huyện Sơn Động,district,234,Tỉnh Bắc Giang > Huyện Sơn Động,environment.tinhbacgiang
huyenyendung,Huyện Yên Dũng,district,235,Tỉnh Bắc Giang > Huyện Yên Dũng,environment.tinhbacgiang
huyenvieten,Huyện Việt Yên,district,236,Tỉnh Bắc Giang > Huyện Việt Yên,environment.tinhbacgiang
huyenhiephoa,Huyện Hiệp Hòa,district,237,Tỉnh Bắc Giang > Huyện Hiệp Hòa,environment.tinhbacgiang
thanhphovietri,Thành phố Việt Trì,district,243,Tỉnh Phú Thọ > Thành phố Việt Trì,environment.tinhphutho
thixaphutho,Thị xã Phú Thọ,district,244,Tỉnh Phú Thọ > Thị xã Phú Thọ,environment.tinhphutho
huyendoanhung,Huyện Đoan Hùng,district,245,Tỉnh Phú Thọ > Huyện Đoan Hùng,environment.tinhphutho
huyenhahòa,Huyện Hạ Hòa,district,246,Tỉnh Phú Thọ > Huyện Hạ Hòa,environment.tinhphutho
huyenthanhba,Huyện Thanh Ba,district,247,Tỉnh Phú Thọ > Huyện Thanh Ba,environment.tinhphutho
huyenphuninh,Huyện Phù Ninh,district,248,Tỉnh Phú Thọ > Huyện Phù Ninh,environment.tinhphutho
huyenyenlap,Huyện Yên Lập,district,249,Tỉnh Phú Thọ > Huyện Yên Lập,environment.tinhphutho
huyencamkhe,Huyện Cẩm Khê,district,250,Tỉnh Phú Thọ > Huyện Cẩm Khê,environment.tinhphutho
huyentamnong,Huyện Tam Nông,district,251,Tỉnh Phú Thọ > Huyện Tam Nông,environment.tinhphutho
huyenlamthao,Huyện Lâm Thao,district,252,Tỉnh Phú Thọ > Huyện Lâm Thao,environment.tinhphutho
huyenthanhson,Huyện Thanh Sơn,district,253,Tỉnh Phú Thọ > Huyện Thanh Sơn,environment.tinhphutho
huyenthanhthuy,Huyện Thanh Thủy,district,254,Tỉnh Phú Thọ > Huyện Thanh Thủy,environment.tinhphutho
huyentanson,Huyện Tân Sơn,district,255,Tỉnh Phú Thọ > Huyện Tân Sơn,environment.tinhphutho
thanhphovinhyen,Thành phố Vĩnh Yên,district,256,Tỉnh Vĩnh Phúc > Thành phố Vĩnh Yên,environment.tinhvinhphuc
thanhphophucyen,Thành phố Phúc Yên,district,257,Tỉnh Vĩnh Phúc > Thành phố Phúc Yên,environment.tinhvinhphuc
huyenlapthach,Huyện Lập Thạch,district,258,Tỉnh Vĩnh Phúc > Huyện Lập Thạch,environment.tinhvinhphuc
huyentamduong,Huyện Tam Dương,district,259,Tỉnh Vĩnh Phúc > Huyện Tam Dương,environment.tinhvinhphuc
